Motor Carrier ,Company,City,County,State,clean_city
732697.0,ALVAREZ TRANSPORT INC.,Salinas,Monterey,CA,salinas
,ALVAREZ TRUCKING SERVICES,Lynwood,Los Angeles,CA,lynwood
3201051.0,ALVERENGE TRUCKING,FRESNO,,CA,fresno
,ALVIAN FILINSKYY,CITRUS HTS,,CA,citrus heights
3236653.0,AM EMPIRE TRUCKING INC,ARVIN,,CA,arvin
3110487.0,AM PM TRUCKING,FRESNO,,CA,fresno
2495596.0,AMA TRANSPORTATION,Chino Hills,San Bernardino,CA,chino hills
1879068.0,AMADEO TRUCKING,Los Angeles,Los Angeles,CA,los angeles
,AMADOR TUOLUMNE COMMUNITY ACTION AGENCY,JACKSON,Amador,CA,jackson
1260187.0,AMAN & BROTHERS TRUCKING,Sacramento,Sacramento,CA,sacramento
930837.0,AMAN TRUCK LINESLLC,Tracy,San Joaquin,CA,tracy
850290.0,AMAN TRUCKING,Fresno,Fresno,CA,fresno
763348.0,AMAN TRUCKING,LODI,San Joaquin,CA,lodi
2532713.0,AMANDIP SINGH TRUCKING,Elk Grove,Sacramento,CA,elk grove
1937532.0,AMAR EXPRESS,YUBA CITY,Sutter,CA,yuba city
2496502.0,AMAR TRANSPORT,DELHI,,CA,delhi
,AMARDEEP RANDHAWA,Antelope,Sacramento,CA,antelope
2754266.0,AMAXAN TRANSPORT,FONTANA,,CA,fontana
2369776.0,AMAYA TRUCKING,Salinas,Monterey,CA,salinas
756167.0,AMAYA TRUCKING INC,LOS ANGELES,Los Angeles,CA,los angeles
2895193.0,AMBEL TRUCKING INC,HIGHLAND,,CA,highland
,AMBROS MEAT,Yorba Linda,Orange,CA,yorba linda
3196137.0,AMC PRODUCE INC,LOS ANGELES,,CA,los angeles
2854312.0,AMC TRANSPORT,OXNARD,,CA,oxnard
1487171.0,AMCO TRANSPORT,Chatsworth,Los Angeles,CA,los angeles
,AMENS TRUCKING,Commerce,Los Angeles,CA,commerce
3164093.0,AMERI LINE INC,BAKERSFIELD,,CA,bakersfield
1873993.0,AMERICAN BROTHER TRUCK LINE,Sacramento,Sacramento,CA,sacramento
2065459.0,AMERICAN CARGO CARRIERS,Fresno,Fresno,CA,fresno
,AMERICAN DREAM EXPRESS LLC,YUBA CITY,Sutter,CA,yuba city
,AMERICAN DREAMS CARRIER,Ceres,Stanislaus,CA,ceres
3338020.0,AMERICAN EAGLE INC,FRESNO,,CA,fresno
2880990.0,AMERICAN EXPRESS LINES,WOODLAND HLS,Los Angeles,CA,los angeles
2775634.0,AMERICAN FORTUNE FOODS INC.,City of Industry,Los Angeles,CA,industry
,AMERICAN FRUITS AND FLAVORS,Pacoima,Los Angeles,CA,los angeles
440088.0,AMERICAN ICE COMPANY,EL CAJON,,CA,el cajon
2572870.0,AMERICAN PRIDE TRANS INC,Ceres,Stanislaus,CA,ceres
,AMERICAN REFRIGERATED RENTALS,SAN DIEGO,,CA,san diego
2413316.0,AMERICAN TRUCKING,Ceres,Stanislaus,CA,ceres
3024283.0,AMERILOGIS TRANSPORT INC,STOCKTON,San Joaquin,CA,stockton
81260.0,AMG EXPRESS INC,STOCKTON,,CA,stockton
,AMGEN INC.,NEWBURY PARK,,CA,thousand oaks
,AMGEN INC.,Newbury Park,Ventura,CA,thousand oaks
2968763.0,AMI TRANSPORT,OCEANSIDE,,CA,oceanside
2187641.0,AMJ TRANSPORT INC.,Sun Valley,Los Angeles,CA,los angeles
3016345.0,AML LOGISTIC CORP,RCH PALOS VRD,,CA,rancho palos verdes
3225178.0,AMM EXPRESS INC,RNCHO CORDOVA,,CA,rancho cordova
,AMPAC TRADING INTERNATIONAL,Vernon,Los Angeles,CA,vernon
2868953.0,AMRITSAR EXPRESS,Fresno,Fresno,CA,fresno
2011090.0,AMV TRANSPORT,FRESNO,Fresno,CA,fresno
