NAME,households,median_income,mean_income
"Chula Vista city, California",82354,92913,112354
"Citrus CDP, California",2659,84279,92277
"Citrus Heights city, California",33333,68457,86515
"Claremont city, California",12172,111937,146282
"Clarksburg CDP, California",154,-,140264
"Clay CDP, California",389,108789,114956
"Clayton city, California",3986,150948,188460
"Clear Creek CDP, California",135,43486,52590
"Clearlake city, California",6002,37783,50410
"Clearlake Oaks CDP, California",1046,48221,79784
"Clearlake Riviera CDP, California",1288,74837,122371
"Cleone CDP, California",348,86100,95658
"Clio CDP, California",74,31250,39481
"Clipper Mills CDP, California",105,64743,61470
"Cloverdale city, California",3617,89630,112297
"Clovis city, California",39207,89769,112027
"Clyde CDP, California",294,67794,92801
"Coachella city, California",15669,40688,55233
"Coalinga city, California",4502,65180,78992
"Coarsegold CDP, California",1849,74265,78057
"Cobb CDP, California",387,100739,95610
"Coffee Creek CDP, California",108,52500,57141
"Cohasset CDP, California",193,70446,165509
"Cold Springs CDP (El Dorado County), California",293,59875,82617
"Cold Springs CDP (Tuolumne County), California",0,-,-
"Coleville CDP, California",142,38639,38055
"Colfax city, California",865,69844,87203
"College City CDP, California",62,-,74306
"Collierville CDP, California",612,76739,111892
"Colma town, California",464,102500,117223
"Coloma CDP, California",155,94453,132675
"Colton city, California",16709,60874,72513
"Columbia CDP, California",1006,40730,58044
"Colusa city, California",2431,55664,68710
"Commerce city, California",3466,58226,74681
"Comptche CDP, California",80,-,85750
"Compton city, California",24921,62297,72663
"Concord city, California",45471,100011,118420
"Concow CDP, California",169,28750,43977
"Contra Costa Centre CDP, California",3644,135139,144034
"Copperopolis CDP, California",1285,81319,99185
"Corcoran city, California",4081,46782,56601
"Corning city, California",2644,48313,54012
"Corona city, California",45875,95268,115377
"Coronado city, California",7147,114559,174248
"Coronita CDP, California",918,109054,121518
"Corralitos CDP, California",1030,154958,165890
"Corte Madera town, California",3930,183661,243760
"Costa Mesa city, California",41243,96391,125326
"Cotati city, California",2828,97500,108810
"Coto de Caza CDP, California",5033,210990,283553
"Cottonwood CDP (Kern County), California",787,29980,38703
"Cottonwood CDP (Shasta County), California",2220,73690,110168
"Coulterville CDP, California",20,-,N
"Country Club CDP, California",3361,71185,86690
"Courtland CDP, California",215,63872,73696
"Covelo CDP, California",465,42654,49042
"Covina city, California",16399,81570,101799
"Cowan CDP, California",127,68456,63150
"Crane Creek CDP, California",16,-,N
"Crescent City city, California",1847,34676,37057
"Crescent Mills CDP, California",47,-,21506
"Cressey CDP, California",90,69318,75442
"Crest CDP, California",981,102031,112120
"Crestline CDP, California",3795,64523,80833
"Creston CDP, California",0,-,-
"C-Road CDP, California",34,-,72318
"Crockett CDP, California",1516,95357,105527
"Cromberg CDP, California",146,85804,81749
"Crowley Lake CDP, California",399,-,87842
"Crows Landing CDP, California",142,32016,43244
"Cudahy city, California",5775,47050,55508
"Culver City city, California",18144,105346,147109
"Cupertino city, California",20963,199778,245527
"Cutler CDP, California",1155,53370,60285
"Cutten CDP, California",1210,84688,98719
"Cuyama CDP, California",10,-,57240
"Cypress city, California",15998,109180,129523
"Dales CDP, California",29,-,N
"Daly City city, California",31787,105374,129197
"Dana Point city, California",14197,111132,156760
"Danville town, California",16240,181453,239310
"Daphnedale Park CDP, California",37,-,33262
"Darwin CDP, California",36,-,N
"Davenport CDP, California",164,56731,84133
"Davis city, California",25123,81231,119855
"Day Valley CDP, California",1186,156609,182424
"Deer Park CDP, California",327,109271,162192
"Del Aire CDP, California",3390,116520,142041
"Delano city, California",11387,48344,64653
"Del Dios CDP, California",136,96471,131023
"Delft Colony CDP, California",231,-,40077
"Delhi CDP, California",2844,67570,78065
"Delleker CDP, California",199,73750,65600
"Del Mar city, California",1818,157708,263874
"Del Monte Forest CDP, California",1686,140132,231705
"Del Rey CDP, California",399,38516,51764
"Del Rey Oaks city, California",646,115469,138317
"Del Rio CDP, California",450,153649,257193
"Denair CDP, California",1704,96611,97505
"Derby Acres CDP, California",122,66250,66673
"Descanso CDP, California",555,112969,141277
"Desert Center CDP, California",126,34583,54929
"Desert Edge CDP, California",1827,36799,45188
"Desert Hot Springs city, California",11640,37924,52903
"Desert Palms CDP, California",3671,68583,108498
"Desert Shores CDP, California",210,21009,27868
"Desert View Highlands CDP, California",1060,66944,66618
"Diablo CDP, California",248,-,298358
"Diablo Grande CDP, California",380,110833,127808
"Diamond Bar city, California",17788,100776,126368
"Diamond Springs CDP, California",4887,64674,87535
"Di Giorgio CDP, California",102,30469,29494
"Dillon Beach CDP, California",160,183229,213373
"Dinuba city, California",6227,50186,67739
"Discovery Bay CDP, California",5516,138576,164040
"Dixon city, California",6464,84208,101777
"Dixon Lane-MeadowCreek CDP, California",1095,52530,62175
"Dobbins CDP, California",122,-,39749
"Dogtown CDP, California",1031,116063,136430
"Dollar Point CDP, California",428,81136,114770
"Dorrington CDP, California",238,113542,103189
"Dorris city, California",314,34643,52399
"Dos Palos city, California",1661,60250,81494
"Dos Palos Y CDP, California",84,19375,27299
"Douglas City CDP, California",349,48346,72390
"Downey city, California",34497,77972,100808
"Downieville CDP, California",43,98589,86742
"Doyle CDP, California",316,55000,64224
"Drytown CDP, California",7,-,N
"Duarte city, California",7283,86903,102425
"Dublin city, California",22946,171168,201867
"Ducor CDP, California",120,39000,48459
"Dunnigan CDP, California",484,40875,77645
"Dunsmuir city, California",732,39737,54494
"Durham CDP, California",2124,107000,123047
"Dustin Acres CDP, California",145,49519,77342
"Dutch Flat CDP, California",66,43125,57068
"Eagleville CDP, California",7,-,N
"Earlimart CDP, California",1908,43194,56683
"East Bakersfield CDP, California",3001,30091,37168
"Eastern Goleta Valley CDP, California",10279,126944,170796
"East Foothills CDP, California",2231,168390,208308
"East Hemet CDP, California",5529,65268,77352
"East Los Angeles CDP, California",31206,54629,68834
"East Nicolaus CDP, California",70,76875,86937
"East Niles CDP, California",7860,46701,55881
"East Oakdale CDP, California",956,130833,174407
"Easton CDP, California",567,80893,150210
"East Orosi CDP, California",119,-,41744
"East Palo Alto city, California",8163,96349,130055
"East Pasadena CDP, California",1956,94375,134023
"East Porterville CDP, California",1319,31151,50283
"East Quincy CDP, California",850,64143,82194
"East Rancho Dominguez CDP, California",3267,62886,83855
"East Richmond Heights CDP, California",1383,105108,138910
"East San Gabriel CDP, California",7578,94043,108977
"East Shore CDP, California",61,102063,107425
"East Sonora CDP, California",1362,66111,84692
"East Tulare Villa CDP, California",187,57396,73234
"Eastvale city, California",16713,141827,156860
