NAME,households,median_income,mean_income
"South San Jose Hills CDP, California",4149,84257,91790
"South Taft CDP, California",685,28092,52320
"South Whittier CDP, California",15533,85579,100046
"Spaulding CDP, California",109,-,58841
"Spreckels CDP, California",121,-,125917
"Spring Garden CDP, California",0,-,-
"Spring Valley CDP (Lake County), California",315,51042,94158
"Spring Valley CDP (San Diego County), California",9727,87455,104721
"Spring Valley Lake CDP, California",2820,91667,112427
"Springville CDP, California",201,-,35655
"Squaw Valley CDP, California",1188,72188,79899
"Squirrel Mountain Valley CDP, California",554,-,62815
"Stallion Springs CDP, California",1095,73897,85228
"Stanford CDP, California",3507,66863,152318
"Stanton city, California",11802,68821,93227
"Stebbins CDP, California",215,118080,116851
"Stevenson Ranch CDP, California",6426,149762,178633
"Stevinson CDP, California",80,-,80616
"Stinson Beach CDP, California",280,103625,120673
"Stirling City CDP, California",106,30682,40957
"Stockton city, California",96216,63916,83774
"Stones Landing CDP, California",53,145216,117842
"Stonyford CDP, California",45,-,47351
"Stratford CDP, California",207,-,86043
"Strathmore CDP, California",989,31952,47152
"Strawberry CDP (Marin County), California",2216,121765,210735
"Strawberry CDP (Tuolumne County), California",61,-,N
"Sugarloaf Saw Mill CDP, California",0,-,-
"Sugarloaf Village CDP, California",4,-,N
"Suisun City city, California",9470,86405,96978
"Sultana CDP, California",237,33542,39361
"Summerland CDP, California",351,118321,176334
"Sunnyside CDP, California",1519,87250,104248
"Sunnyside-Tahoe City CDP, California",642,144474,160661
"Sunny Slopes CDP, California",37,47313,63743
"Sunnyvale city, California",57565,161670,209785
"Sunol CDP, California",296,171667,240932
"Sun Village CDP, California",3339,60336,71682
"Susanville city, California",2991,53750,70589
"Sutter CDP, California",1014,84434,94351
"Sutter Creek city, California",1387,54055,62129
"Swall Meadows CDP, California",147,164141,156766
"Taft city, California",3054,52917,66097
"Taft Heights CDP, California",553,53977,56977
"Taft Mosswood CDP, California",412,60789,62378
"Tahoe Vista CDP, California",465,82634,110772
"Tahoma CDP, California",459,78125,97928
"Talmage CDP, California",280,43258,102749
"Tamalpais-Homestead Valley CDP, California",4434,220875,274724
"Tancred CDP, California",17,-,232924
"Tara Hills CDP, California",1736,103148,110146
"Tarina CDP, California",0,-,-
"Tarpey Village CDP, California",1333,59896,69110
"Taylorsville CDP, California",15,-,N
"Tecopa CDP, California",126,35227,48160
"Tehachapi city, California",3693,54598,72527
"Tehama city, California",209,50104,66122
"Temecula city, California",34266,103546,121653
"Temelec CDP, California",1057,63029,91689
"Temescal Valley CDP, California",8700,107790,136285
"Temple City city, California",11789,88792,110656
"Templeton CDP, California",3169,104340,115406
"Tennant CDP, California",23,-,50483
"Terminous CDP, California",209,54844,104878
"Terra Bella CDP, California",512,20857,31109
"Teviston CDP, California",272,37167,40560
"Thermal CDP, California",670,14500,22910
"Thermalito CDP, California",2373,45723,73686
"Thornton CDP, California",280,32206,48062
"Thousand Oaks city, California",46270,113942,153349
"Thousand Palms CDP, California",2879,56055,67263
"Three Rivers CDP, California",1278,73720,90493
"Three Rocks CDP, California",47,-,40287
"Tiburon town, California",3515,192292,304909
"Timber Cove CDP, California",78,95341,109447
"Tipton CDP, California",753,34777,55528
"Tobin CDP, California",0,-,-
"Tomales CDP, California",81,-,61269
"Tonyville CDP, California",53,21736,24398
"Tooleville CDP, California",30,17656,15030
"Topanga CDP, California",3031,128884,196725
"Topaz CDP, California",117,76250,79085
"Toro Canyon CDP, California",797,122188,265686
"Torrance city, California",55585,100215,128399
"Trabuco Canyon CDP, California",441,164417,219803
"Tracy city, California",27237,102336,118891
"Tranquillity CDP, California",202,52895,67306
"Traver CDP, California",139,50469,51345
"Tres Pinos CDP, California",276,141250,178911
"Trinidad city, California",165,76705,112658
"Trinity Center CDP, California",116,40278,42441
"Trinity Village CDP, California",112,46333,120838
"Trona CDP, California",38,-,N
"Trowbridge CDP, California",73,116875,114697
"Truckee town, California",6247,103772,153386
"Tulare city, California",19332,62050,76204
"Tulelake city, California",221,36250,46845
"Tuolumne City CDP, California",716,39643,53436
"Tupman CDP, California",48,-,59958
"Turlock city, California",24904,66646,85293
"Tustin city, California",26547,93901,128500
"Tuttle CDP, California",30,-,N
"Tuttletown CDP, California",168,91167,77501
"Twain CDP, California",95,-,42163
"Twain Harte CDP, California",1121,75128,130746
"Twentynine Palms city, California",8671,46887,61708
"Twin Lakes CDP (Mono County), California",65,-,N
"Twin Lakes CDP (Santa Cruz County), California",2411,71228,121237
"Ukiah city, California",5790,56975,76067
"Union City city, California",20800,127828,151973
"University of California-Davis CDP, California",1494,23125,36000
"University of California-Merced CDP, California",0,-,-
"University of California-Santa Barbara CDP, California",701,71705,97459
"Upland city, California",27386,82259,108219
"Upper Lake CDP, California",507,116116,88415
"Vacaville city, California",33457,97683,119258
"Valinda CDP, California",4615,89193,113753
"Vallecito CDP, California",79,46736,68937
"Vallejo city, California",43883,78243,100900
"Valle Vista CDP, California",6367,59656,77680
"Valley Acres CDP, California",223,75509,94800
"Valley Center CDP, California",3136,103224,127638
"Valley Ford CDP, California",0,-,-
"Valley Home CDP, California",99,-,61831
"Valley Ranch CDP, California",16,-,N
"Valley Springs CDP, California",1316,70048,78055
"Valley Wells CDP, California",0,-,-
"Val Verde CDP, California",836,98750,102462
"Vandenberg AFB CDP, California",1097,64576,73432
"Vandenberg Village CDP, California",2621,95747,111467
"Verdi CDP, California",96,-,106276
"Vernon city, California",88,62000,63568
"Victor CDP, California",158,-,64463
"Victorville city, California",36882,61206,80076
"View Park-Windsor Hills CDP, California",4857,101739,116110
"Villa Park city, California",1965,172375,258683
"Vina CDP, California",58,63750,89874
"Vincent CDP, California",4101,88932,100520
"Vine Hill CDP, California",1116,121402,133490
"Vineyard CDP, California",12253,100798,112831
"Virginia Lakes CDP, California",0,-,-
"Visalia city, California",45376,69252,91234
"Vista city, California",30350,79196,103078
"Vista Santa Rosa CDP, California",649,55179,68043
"Volcano CDP, California",44,-,72625
"Volta CDP, California",121,-,25664
"Walker CDP, California",206,51471,62268
"Wallace CDP, California",279,105243,119962
"Walnut city, California",8663,121882,145940
"Walnut Creek city, California",32126,121205,157175
"Walnut Grove CDP, California",432,56833,83302
"Walnut Park CDP, California",3815,68708,79732
"Warm Springs CDP, California",482,52791,64895
"Warner Valley CDP, California",0,-,-
"Wasco city, California",6254,40532,55419
"Washington CDP, California",39,-,69862
"Waterford city, California",2405,70774,82308
"Waterloo CDP, California",342,-,142731
"Watsonville city, California",14587,67007,86076
"Waukena CDP, California",26,71071,66335
"Wautec CDP, California",5,-,N
"Wawona CDP, California",66,38036,41627
"Weaverville CDP, California",1472,42023,55447
"Weed city, California",1220,28857,68418
"Weedpatch CDP, California",908,19467,28582
"Weitchpec CDP, California",19,37917,43874
"Weldon CDP, California",1110,25727,35465
"Weott CDP, California",47,-,N
"West Athens CDP, California",2757,68750,93486
"West Bishop CDP, California",886,98333,112992
"West Carson CDP, California",7773,84914,109464
"West Covina city, California",31753,89834,110964
"West Goshen CDP, California",123,-,73319
"Westhaven-Moonstone CDP, California",501,79250,95553
"West Hollywood city, California",22984,78719,111521
"Westlake Village city, California",3090,166316,243719
"Westley CDP, California",132,42105,52508
"West Menlo Park CDP, California",1215,230438,350401
"Westminster city, California",27611,71108,100793
"West Modesto CDP, California",1534,49340,60764
"Westmont CDP, California",10536,44670,57672
"Westmorland city, California",488,33444,47419
"West Park CDP, California",276,67500,92381
"West Point CDP, California",272,60873,57657
"West Puente Valley CDP, California",5170,78095,93829
"West Rancho Dominguez CDP, California",6139,70391,90151
"West Sacramento city, California",18966,77393,102399
"Westside CDP, California",41,-,50798
"West Whittier-Los Nietos CDP, California",6891,83692,99015
"Westwood CDP, California",627,41597,49549
"Wheatland city, California",1263,72006,86519
"Whitehawk CDP, California",30,74063,65727
"Whitewater CDP, California",327,-,56336
"Whitley Gardens CDP, California",19,-,N
"Whitmore CDP, California",144,55625,72835
"Whittier city, California",27626,80306,102510
"Wildomar city, California",10880,81622,101768
"Wilkerson CDP, California",164,95000,95291
"Williams city, California",1520,78661,87041
"Williams Canyon CDP, California",7,-,N
"Willits city, California",2311,34519,54591
"Willowbrook CDP, California",5789,45700,61381
"Willow Creek CDP, California",559,76607,69291
"Willows city, California",1859,53250,63414
"Wilsonia CDP, California",0,-,-
"Wilton CDP, California",2048,149219,142305
"Winchester CDP, California",809,66269,72906
"Windsor town, California",9163,123277,138668
"Winter Gardens CDP, California",7727,79099,96543
"Winterhaven CDP, California",69,10494,7928
"Winters city, California",2340,90887,119481
"Winton CDP, California",3225,49940,62739
"Wofford Heights CDP, California",1123,30575,37148
"Woodacre CDP, California",604,125671,139316
"Woodbridge CDP, California",1520,117760,131866
"Woodcrest CDP, California",4749,119038,150540
"Woodlake city, California",2023,41532,53224
"Woodland city, California",20956,78279,97643
"Woodlands CDP, California",926,140500,152689
"Woodside town, California",1673,"250,000+",430036
"Woodville CDP, California",450,34565,46053
"Woodville Farm Labor Camp CDP, California",127,21705,26128
"Woody CDP, California",36,105909,96597
"Wrightwood CDP, California",1997,54240,96791
"Yankee Hill CDP, California",153,49107,70369
"Yermo CDP, California",444,52005,69579
"Yettem CDP, California",78,42500,45149
"Yolo CDP, California",105,85170,74386
"Yorba Linda city, California",22920,137011,176276
"Yosemite Lakes CDP, California",1865,87666,107806
"Yosemite Valley CDP, California",235,37674,44855
"Yosemite West CDP, California",16,-,130419
"Yountville city, California",1606,68611,111813
"Yreka city, California",3210,44444,63764
"Yuba City city, California",23398,64225,90362
"Yucaipa city, California",18197,75456,96414
"Yucca Valley town, California",8567,51978,75736
"Zayante CDP, California",286,131019,149757
