clean_city,NAME,NAMELSAD,num_firms,44-45_RCPTOT,72_RCPTOT,31-33_RCPTOT,median_income,households,mean_income,land_value,property_value,diesel
smith river,Smith River,Smith River CDP,1.0,,,,86250.0,251.0,72117.0,,,
soledad,Soledad,Soledad city,13.0,107666.0,24514.0,,67366.0,3660.0,82655.0,96909.47290912132,347259.16979889956,5.7104
solvang,Solvang,Solvang city,2.0,78383.0,78973.0,,94451.0,2542.0,144026.0,198109.1967351976,627843.9115115138,5.5982
sonora,Sonora,Sonora city,2.0,364601.0,40110.0,,56279.0,2097.0,76916.0,44525.99660138689,302575.18648907146,
south el monte,South El Monte,South El Monte city,10.0,404993.0,59721.0,1044953.0,60244.0,4897.0,76350.0,318644.8878340246,565170.3735787914,5.5752000000000015
south gate,South Gate,South Gate city,14.0,892911.0,138330.0,1832611.0,59647.0,23858.0,73159.0,260557.2729593527,559306.0505706285,5.575200000000001
south san francisco,South San Francisco,South San Francisco city,4.0,1200024.0,539076.0,26259879.0,112818.0,21895.0,148908.0,595604.4731594274,1095559.1849099402,5.6444
springville,Springville,Springville CDP,1.0,,,,,201.0,35655.0,34900.0,209600.0,5.5364
stevenson ranch,Stevenson Ranch,Stevenson Ranch CDP,1.0,198521.0,,,149762.0,6426.0,178633.0,370868.6899664304,648974.3000891386,5.575200000000001
stockton,Stockton,Stockton city,94.0,3947416.0,504449.0,2301897.0,63916.0,96216.0,83774.0,78189.3371281962,285270.3796826994,5.4856
suisun city,Suisun City,Suisun City city,2.0,153678.0,38785.0,,86405.0,9470.0,96978.0,91542.33813797672,378428.21772816015,5.460800000000001
sultana,Sultana,Sultana CDP,1.0,,,,33542.0,237.0,39361.0,69500.0,251700.0,5.5363999999999995
sunnyvale,Sunnyvale,Sunnyvale city,2.0,1870935.0,599882.0,5243255.0,161670.0,57565.0,209785.0,925533.9546744388,1361663.4126041012,5.5942
susanville,Susanville,Susanville city,1.0,197886.0,38768.0,,53750.0,2991.0,70589.0,20035.658376832387,190800.54434793617,
sutter,Sutter,Sutter CDP,1.0,8303.0,,,84434.0,1014.0,94351.0,48500.0,272700.0,5.287599999999999
taft,Taft,Taft city,2.0,72268.0,21484.0,,52917.0,3054.0,66097.0,,,5.6938
tehachapi,Tehachapi,Tehachapi city,2.0,213279.0,48388.0,,54598.0,3693.0,72527.0,30884.908058580808,258386.15150484256,5.6938
temecula,Temecula,Temecula city,2.0,3163971.0,455537.0,3193847.0,103546.0,34266.0,121653.0,132108.1331366627,391064.1888557658,5.444601732034662
temple city,Temple City,Temple City city,3.0,308003.0,78507.0,,88792.0,11789.0,110656.0,685909.760343489,889599.8596924806,5.575200000000001
templeton,Templeton,Templeton CDP,1.0,128320.0,,,104340.0,3169.0,115406.0,168913.11344676834,486557.83092376194,5.82
thermal,Thermal,Thermal CDP,1.0,10255.0,,,14500.0,670.0,22910.0,49629.41754513852,244937.7348629217,5.444599999999999
thousand oaks,Thousand Oaks,Thousand Oaks city,5.0,3434362.0,478370.0,2316961.0,113942.0,46270.0,153349.0,473198.24772941147,772625.2509261132,5.6679993720177375
tipton,Tipton,Tipton CDP,2.0,14031.0,,,34777.0,753.0,55528.0,,,5.5364
torrance,Torrance,Torrance city,4.0,4685546.0,695553.0,8809292.0,100215.0,55585.0,128399.0,713532.7428205097,955552.5579254702,5.575200000000001
tracy,Tracy,Tracy city,31.0,1454251.0,196367.0,,102336.0,27237.0,118891.0,147330.60672592095,410080.20948586887,5.4856
tulare,Tulare,Tulare city,10.0,896695.0,98780.0,1994235.0,62050.0,19332.0,76204.0,56480.42715294026,230881.4711477546,5.5364
turlock,Turlock,Turlock city,47.0,1109651.0,204614.0,1497841.0,66646.0,24904.0,85293.0,83154.09898759551,317742.18971042265,5.5232
tustin,Tustin,Tustin city,2.0,2749058.0,363430.0,1211814.0,93901.0,26547.0,128500.0,555203.8561146627,832577.7296313603,5.4428
ukiah,Ukiah,Ukiah city,3.0,535317.0,67107.0,,56975.0,5790.0,76067.0,,,
union city,Union City,Union City city,12.0,791605.0,148146.0,1246006.0,127828.0,20800.0,151973.0,459684.4915873454,828403.0855427983,5.615399999999999
upland,Upland,Upland city,4.0,1141498.0,187999.0,196587.0,82259.0,27386.0,108219.0,244910.9601623995,515826.74556533026,5.465614868687871
vallejo,Vallejo,Vallejo city,1.0,1381443.0,204409.0,64161.0,78243.0,43883.0,100900.0,123124.65849800417,427056.04042668233,5.460800064170281
valley center,Valley Center,Valley Center CDP,3.0,47999.0,,,103224.0,3136.0,127638.0,117039.31170201911,414194.1121118621,5.4622
valley springs,Valley Springs,Valley Springs CDP,1.0,34459.0,10567.0,,70048.0,1316.0,78055.0,30700.000000000004,271200.0,
