,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,clean_city,regular,mid,premium,diesel
1175,06,47164,02408825,0647164,Mettler,Mettler CDP,mettler,4.6046,4.7696,4.971200000000001,5.6938
1176,06,48452,02408853,0648452,Mojave,Mojave CDP,mojave,4.6046,4.7696,4.9712000000000005,5.6937999999999995
1177,06,45006,02583069,0645006,McSwain,McSwain CDP,mcswain,4.4396,4.6446,4.835,5.4504
1178,06,45064,02583070,0645064,Madison,Madison CDP,madison,4.5198,4.7028,4.881,5.3896
1179,06,49045,02583086,0649045,Monument Hills,Monument Hills CDP,monument hills,4.5198,4.7028,4.881,5.3896
1180,06,46338,02583074,0646338,Maxwell,Maxwell CDP,maxwell,,,,
1181,06,46400,02583075,0646400,Mayfair,Mayfair CDP,mayfair,4.4984,4.6816,4.8458,5.515600000000001
1182,06,47822,02583082,0647822,Minkler,Minkler CDP,minkler,4.4984,4.6816,4.8458,5.5156
1183,06,53505,02583103,0653505,Old Fig Garden,Old Fig Garden CDP,old fig garden,4.4984,4.6816,4.8458,5.515600000000001
1184,06,48592,02628758,0648592,Monmouth,Monmouth CDP,monmouth,4.4984,4.6816,4.8458,5.515600000000001
1185,06,49558,02628760,0649558,Mountain Gate,Mountain Gate CDP,mountain gate,4.457,4.5764,4.7018,5.328
1186,06,48718,02583085,0648718,Montalvin Manor,Montalvin Manor CDP,montalvin manor,4.6502,4.8524,4.9908,5.615399999999999
1187,06,49488,02408874,0649488,Moss Landing,Moss Landing CDP,moss landing,4.7262,4.924,5.0846,5.7104
1188,06,49684,02408883,0649684,Mountain View Acres,Mountain View Acres CDP,mountain view acres,4.5847999999999995,4.752800000000001,4.9164,5.4656
1189,06,51028,02583090,0651028,New Cuyama,New Cuyama CDP,new cuyama,4.6266,4.7832,4.9204,5.5982
1190,06,51890,02583095,0651890,North Gate,North Gate CDP,north gate,4.6502,4.8524,4.9908,5.615399999999999
1191,06,52302,02583097,0652302,North Shore,North Shore CDP,north shore,4.5598,4.7698,4.911,5.444599999999999
1192,06,52379,02408951,0652379,North Tustin,North Tustin CDP,north tustin,4.6436,4.8466,4.96,5.4428
1193,06,52610,02628767,0652610,Nubieber,Nubieber CDP,nubieber,,,,
1194,06,56042,02628772,0656042,Paskenta,Paskenta CDP,paskenta,,,,
1195,06,52624,02408960,0652624,Nuevo,Nuevo CDP,nuevo,4.5598,4.7698,4.911,5.444599999999999
1196,06,53224,02630708,0653224,Oasis,Oasis CDP,oasis,4.5598,4.7698,4.911,5.444599999999999
1197,06,53294,02408974,0653294,Oceano,Oceano CDP,oceano,4.918,5.093999999999999,5.2307999999999995,5.819999999999999
1198,06,55044,02409018,0655044,Pajaro,Pajaro CDP,pajaro,4.7262,4.924,5.0846,5.7104
1199,06,55296,02409021,0655296,Palo Cedro,Palo Cedro CDP,palo cedro,4.457,4.5764,4.7018,5.328
1200,06,56028,02583108,0656028,Pasatiempo,Pasatiempo CDP,pasatiempo,4.6268,4.8768,5.002,5.6268
1201,06,56120,02585436,0656120,Patterson Tract,Patterson Tract CDP,patterson tract,4.5114,4.708,4.889,5.5364
1202,06,56196,02628773,0656196,Paynes Creek,Paynes Creek CDP,paynes creek,,,,
1203,06,56476,02583110,0656476,Penngrove,Penngrove CDP,penngrove,4.7624,4.9706,5.1084000000000005,5.612
1204,06,56518,02409052,0656518,Penn Valley,Penn Valley CDP,penn valley,,,,
1205,06,56756,02628775,0656756,Pescadero,Pescadero CDP,pescadero,4.7842,4.9694,5.1246,5.6444
1206,06,56854,02628776,0656854,Phillipsville,Phillipsville CDP,phillipsville,,,,
1207,06,56868,02628777,0656868,Philo,Philo CDP,philo,,,,
1208,06,56870,02633170,0656870,Phoenix Lake,Phoenix Lake CDP,phoenix lake,,,,
1209,06,57036,02583112,0657036,Pike,Pike CDP,pike,,,,
1210,06,57134,02585438,0657134,Pine Flat,Pine Flat CDP,pine flat,4.5114,4.708,4.889,5.5364
1211,06,57148,02583114,0657148,Pine Grove,Pine Grove CDP,pine grove,,,,
1212,06,57204,02409067,0657204,Pine Hills,Pine Hills CDP,pine hills,,,,
1213,06,57240,02409069,0657240,Pine Mountain Club,Pine Mountain Club CDP,pine mountain club,4.6046,4.7696,4.9712000000000005,5.6938
1214,06,57244,02583115,0657244,Pine Mountain Lake,Pine Mountain Lake CDP,pine mountain lake,,,,
1215,06,57260,02409070,0657260,Pine Valley,Pine Valley CDP,pine valley,4.6766,4.872,5.010800000000001,5.4622
1216,06,57302,02627936,0657302,Piñon Hills,Piñon Hills CDP,piñon hills,4.584817816902556,4.752822341830191,4.916415943299709,5.465619372346431
1217,06,57372,02409077,0657372,Piru,Piru CDP,piru,4.6866,4.8726,5.0116,5.668000000000001
1218,06,57512,02409079,0657512,Pixley,Pixley CDP,pixley,4.5114,4.708,4.889,5.536400000000001
