random,trial_label,num_firms,count
7307,original,0,199
7307,original,1,57
7307,original,2,97
7307,original,3,43
7307,original,4,89
7307,original,5,40
7307,typical_business,0,199
7307,typical_business,1,57
7307,typical_business,2,97
7307,typical_business,3,47
7307,typical_business,4,90
7307,typical_business,5,35
7307,one_percent,0,204
7307,one_percent,1,62
7307,one_percent,2,90
7307,one_percent,3,46
7307,one_percent,4,91
7307,one_percent,5,32
7307,five_percent,0,228
7307,five_percent,1,57
7307,five_percent,2,87
7307,five_percent,3,33
7307,five_percent,4,102
7307,five_percent,5,18
6784,original,0,248
6784,original,1,82
6784,original,2,0
6784,original,3,72
6784,original,4,54
6784,original,5,69
6784,typical_business,0,248
6784,typical_business,1,85
6784,typical_business,2,0
6784,typical_business,3,72
6784,typical_business,4,52
6784,typical_business,5,68
6784,one_percent,0,251
6784,one_percent,1,88
6784,one_percent,2,0
6784,one_percent,3,68
6784,one_percent,4,50
6784,one_percent,5,68
6784,five_percent,0,257
6784,five_percent,1,101
6784,five_percent,2,1
6784,five_percent,3,68
6784,five_percent,4,64
6784,five_percent,5,34
4841,original,0,245
4841,original,1,33
4841,original,2,95
4841,original,3,62
4841,original,4,32
4841,original,5,58
4841,typical_business,0,246
4841,typical_business,1,33
4841,typical_business,2,95
4841,typical_business,3,62
4841,typical_business,4,33
4841,typical_business,5,56
4841,one_percent,0,256
4841,one_percent,1,33
4841,one_percent,2,89
4841,one_percent,3,65
4841,one_percent,4,36
4841,one_percent,5,46
4841,five_percent,0,284
4841,five_percent,1,46
4841,five_percent,2,64
4841,five_percent,3,77
4841,five_percent,4,31
4841,five_percent,5,23
3,original,0,280
3,original,1,91
3,original,2,8
3,original,3,10
3,original,4,66
3,original,5,70
3,typical_business,0,280
3,typical_business,1,91
3,typical_business,2,8
3,typical_business,3,10
3,typical_business,4,69
3,typical_business,5,67
3,one_percent,0,284
3,one_percent,1,91
3,one_percent,2,4
3,one_percent,3,14
3,one_percent,4,76
3,one_percent,5,56
3,five_percent,0,289
3,five_percent,1,95
3,five_percent,2,7
3,five_percent,3,8
3,five_percent,4,97
3,five_percent,5,29
1282,original,0,176
1282,original,1,55
1282,original,2,140
1282,original,3,42
1282,original,4,43
1282,original,5,69
1282,typical_business,0,176
1282,typical_business,1,55
1282,typical_business,2,140
1282,typical_business,3,42
1282,typical_business,4,45
1282,typical_business,5,67
1282,one_percent,0,179
1282,one_percent,1,55
1282,one_percent,2,137
1282,one_percent,3,42
1282,one_percent,4,52
1282,one_percent,5,60
1282,five_percent,0,194
1282,five_percent,1,69
1282,five_percent,2,122
1282,five_percent,3,43
1282,five_percent,4,47
1282,five_percent,5,50
1299,original,0,300
1299,original,1,61
1299,original,2,28
1299,original,3,29
1299,original,4,91
1299,original,5,16
1299,typical_business,0,300
1299,typical_business,1,61
1299,typical_business,2,28
1299,typical_business,3,29
1299,typical_business,4,91
1299,typical_business,5,16
1299,one_percent,0,301
1299,one_percent,1,61
1299,one_percent,2,28
1299,one_percent,3,29
1299,one_percent,4,90
1299,one_percent,5,16
